"";"year";"length";"budget";"rating";"Action";"Animation";"Comedy";"Drama";"Documentary";"Romance"
"1";1971;121;NA;6,4;0;0;1;1;0;0
"2";1939;71;NA;6;0;0;1;0;0;0
"3";1941;7;NA;8,2;0;1;0;0;0;0
"4";1996;70;NA;8,2;0;0;1;0;0;0
"5";1975;71;NA;3,4;0;0;0;0;0;0
"6";2000;91;NA;4,3;0;0;0;1;0;0
"7";2002;93;NA;5,3;1;0;0;1;0;0
"8";2002;25;NA;6,7;0;0;0;0;1;0
"9";1987;97;NA;6,6;0;0;0;1;0;0
"10";1917;61;NA;6;0;0;0;0;0;0
"11";1988;99;NA;5,4;0;0;0;1;0;0
"12";1994;96;NA;5,9;0;0;0;0;0;0
"13";1906;10;NA;7;0;0;1;0;0;0
"14";1965;10;NA;6,7;0;0;0;0;0;0
"15";1983;106;NA;7,1;1;0;1;0;0;0
"16";1987;101;NA;7,2;1;0;1;0;0;0
"17";1980;107;NA;7,9;0;0;0;1;0;0
"18";1968;10;NA;6,6;0;0;0;0;1;0
"19";1988;110;NA;5;1;0;1;0;0;0
"20";1981;7;NA;8,6;0;1;1;0;0;0
"21";1995;90;NA;3,9;0;0;1;0;0;0
"22";1935;85;450000;7,2;0;0;0;1;0;0
"23";1974;88;NA;3,5;1;0;0;1;0;0
"24";1988;95;NA;3,1;0;0;0;0;0;0
"25";1921;18;NA;7,8;0;0;1;0;0;0
"26";1979;80;NA;7,7;0;0;0;0;0;0
"27";1935;6;NA;6,2;0;1;1;0;0;0
"28";1989;86;NA;6,2;0;0;0;0;0;0
"29";1945;92;NA;7,7;0;0;0;1;0;1
"30";1995;7;NA;6,8;0;0;1;0;0;0
"31";1985;105;NA;6,4;0;0;0;1;0;0
"32";1987;140;NA;5,9;0;0;0;1;0;0
"33";1996;99;NA;4,6;0;0;1;0;0;1
"34";1997;19;NA;7,3;0;0;0;0;0;0
"35";1966;74;19000;1,6;0;0;0;0;0;0
"36";1991;117;NA;7,2;0;0;0;1;0;0
"37";1942;61;NA;6,1;0;0;1;1;0;0
"38";1946;41;NA;5,4;0;0;0;0;0;0
