"";"year";"length";"budget";"rating";"Genre";"Genre_bin"
"1";1971;121;NA;6,4;"Comedy";1
"2";1971;121;NA;6,4;"Drama";1
"3";1939;71;NA;6;"Comedy";1
"4";1941;7;NA;8,2;"Animation";1
"5";1996;70;NA;8,2;"Comedy";1
"6";2000;91;NA;4,3;"Drama";1
"7";2002;93;NA;5,3;"Action";1
"8";2002;93;NA;5,3;"Drama";1
"9";2002;25;NA;6,7;"Documentary";1
"10";1987;97;NA;6,6;"Drama";1
"11";1988;99;NA;5,4;"Drama";1
"12";1906;10;NA;7;"Comedy";1
"13";1983;106;NA;7,1;"Action";1
"14";1983;106;NA;7,1;"Comedy";1
"15";1987;101;NA;7,2;"Action";1
"16";1987;101;NA;7,2;"Comedy";1
"17";1980;107;NA;7,9;"Drama";1
"18";1968;10;NA;6,6;"Documentary";1
"19";1988;110;NA;5;"Action";1
"20";1988;110;NA;5;"Comedy";1
"21";1981;7;NA;8,6;"Animation";1
"22";1981;7;NA;8,6;"Comedy";1
"23";1995;90;NA;3,9;"Comedy";1
"24";1935;85;450000;7,2;"Drama";1
"25";1974;88;NA;3,5;"Action";1
"26";1974;88;NA;3,5;"Drama";1
"27";1921;18;NA;7,8;"Comedy";1
"28";1935;6;NA;6,2;"Animation";1
"29";1935;6;NA;6,2;"Comedy";1
"30";1945;92;NA;7,7;"Drama";1
"31";1945;92;NA;7,7;"Romance";1
"32";1995;7;NA;6,8;"Comedy";1
"33";1985;105;NA;6,4;"Drama";1
"34";1987;140;NA;5,9;"Drama";1
"35";1996;99;NA;4,6;"Comedy";1
"36";1996;99;NA;4,6;"Romance";1
"37";1991;117;NA;7,2;"Drama";1
"38";1942;61;NA;6,1;"Comedy";1
"39";1942;61;NA;6,1;"Drama";1
"40";1986;96;NA;6,8;"Drama";1
"41";1989;90;NA;3,9;"Comedy";1
"42";1941;120;NA;7,2;"Drama";1
"43";2001;83;NA;4,9;"Drama";1
"44";1986;133;NA;7,3;"Drama";1
"45";1975;90;NA;5,5;"Action";1
"46";1975;90;NA;5,5;"Drama";1
"47";1907;15;NA;5,8;"Animation";1
"48";1997;113;23000000;4,8;"Comedy";1
"49";1997;113;23000000;4,8;"Romance";1
"50";1940;99;NA;6,3;"Drama";1
"51";1940;99;NA;6,3;"Romance";1
"52";1940;9;NA;5,9;"Documentary";1
"53";1989;101;NA;6;"Comedy";1
"54";2002;13;NA;7,2;"Drama";1
"55";2002;82;NA;4,8;"Drama";1
"56";1996;118;NA;6,6;"Drama";1
"57";1996;118;NA;6,6;"Romance";1
"58";2001;80;NA;1,4;"Drama";1
"59";2004;87;NA;5,6;"Comedy";1
"60";2002;92;NA;4,9;"Drama";1
"61";1987;106;NA;5,7;"Comedy";1
"62";1987;7;NA;9,4;"Animation";1
"63";1987;7;NA;9,4;"Comedy";1
"64";1959;96;NA;6,3;"Drama";1
"65";1932;77;NA;5,8;"Comedy";1
"66";1981;113;NA;5,6;"Action";1
"67";1981;113;NA;5,6;"Comedy";1
"68";1981;113;NA;5,6;"Drama";1
"69";1981;113;NA;5,6;"Romance";1
"70";1990;84;NA;5,3;"Drama";1
"71";1990;84;NA;5,3;"Romance";1
"72";1979;119;NA;7;"Drama";1
"73";1935;104;NA;6;"Comedy";1
"74";1935;104;NA;6;"Drama";1
"75";1977;109;NA;5,2;"Comedy";1
"76";1977;109;NA;5,2;"Drama";1
"77";1998;106;NA;6,1;"Comedy";1
"78";1978;10;NA;7,9;"Animation";1
"79";1978;10;NA;7,9;"Comedy";1
"80";1980;96;NA;5,7;"Drama";1
"81";1990;88;NA;4,7;"Action";1
"82";1999;92;NA;4,6;"Drama";1
"83";2004;22;NA;8,1;"Comedy";1
"84";1984;82;NA;5,8;"Comedy";1
"85";2005;95;NA;5;"Drama";1
"86";2005;95;NA;5;"Romance";1
"87";1971;96;NA;6,1;"Drama";1
"88";1968;105;NA;5,3;"Drama";1
"89";1968;105;NA;5,3;"Romance";1
"90";1970;100;NA;6;"Action";1
"91";1970;100;NA;6;"Drama";1
"92";2000;95;NA;5,9;"Comedy";1
"93";2000;95;NA;5,9;"Romance";1
"94";1994;90;NA;5,9;"Comedy";1
"95";1964;83;NA;3,6;"Action";1
"96";1964;83;NA;3,6;"Comedy";1
"97";1965;90;NA;4,7;"Comedy";1
"98";1994;87;NA;6,4;"Drama";1
"99";1994;87;NA;6,4;"Romance";1
"100";2004;117;NA;6,3;"Drama";1
"101";1966;101;NA;1,8;"Comedy";1
"102";1954;95;NA;4,6;"Drama";1
"103";1955;96;NA;4,2;"Drama";1
"104";1955;110;NA;3,7;"Drama";1
"105";2002;155;NA;6,6;"Documentary";1
"106";1979;85;NA;7,5;"Comedy";1
"107";1935;70;NA;6,2;"Comedy";1
"108";2003;72;NA;4,9;"Comedy";1
