"weekday","hightemp","lowtemp","precip_rain","precip_snow","count","count_scaled"
"Friday",78.1,66,0.01,0,4115,4.115
"Saturday",55,48.9,0.15,0,2565,2.565
"Sunday",39.9,34,0.09,0,1695,1.695
"Monday",44.1,33.1,0,0.47,1440,1.44
"Tuesday",42.1,26.1,0,0,3081,3.081
"Wednesday",45,30,0,0,3856,3.856
"Thursday",57,53.1,0.09,0,3282,3.282
"Friday",46.9,44.1,0.01,0,4113,4.113
"Saturday",43,37.9,0.09,0,1507,1.507
"Sunday",48.9,30.9,0,0,3132,3.132
"Monday",62.1,46,0.01,0,4334,4.334
"Tuesday",57,45,0.2,0,2762,2.762
"Wednesday",57,39.9,0,0,5995,5.995
"Thursday",62.1,44.6,0,0,6030,6.03
"Friday",64,44.1,0,0,5816,5.816
"Saturday",66,45,0,0,5624,5.624
"Sunday",73.9,46,0,0,5867,5.867
"Monday",81,52,0,0,7432,7.432
"Tuesday",71.1,63,0,0,7834,7.834
"Wednesday",68,50,0,0,7639,7.639
"Thursday",71.1,50,0,0,7426,7.426
"Friday",78.1,63,0,0,6093,6.093
"Saturday",70,61,0.16,0,4856,4.856
"Sunday",68,48,0,0,5335,5.335
"Monday",66.9,54,0,0,6845,6.845
"Tuesday",60.1,46.9,0.24,0,4559,4.559
"Wednesday",62.1,46.9,0,0,6577,6.577
"Thursday",57.9,48,0,0,5336,5.336
"Friday",57,46.9,0.05,0,5053,5.053
"Saturday",64,48,0,0,5675,5.675
"Sunday",50,45,0.16,0,2062,2.062
"Monday",59,46,0.04,0,4864,4.864
"Tuesday",54,51.1,0.61,0,2614,2.614
"Wednesday",51.1,48.9,0.01,0,3797,3.797
"Thursday",57,46.9,0,0,4971,4.971
"Friday",53.1,48,0.54,0,2122,2.122
"Saturday",57.9,48.9,0,0,3789,3.789
"Sunday",64.9,50,0.16,0,3948,3.948
"Monday",72,55,0,0,7386,7.386
"Tuesday",62.1,51.1,0,0,7335,7.335
"Wednesday",73.9,53.1,0,0,8231,8.231
"Thursday",79,57.9,0,0,8333,8.333
"Friday",64.9,60.1,0.25,0,4229,4.229
"Saturday",71.6,60.8,0,0,5479,5.479
"Sunday",57.2,50,0,0,3486,3.486
"Monday",66.2,46.4,0,0,5961,5.961
"Tuesday",64.4,55.4,0,0,6219,6.219
"Wednesday",68,53.6,0,0,6739,6.739
"Thursday",71.1,57,0,0,7485,7.485
"Friday",75,55,0,0,7776,7.776
"Saturday",66,55,0.04,0,3978,3.978
"Sunday",69.1,53.1,0.09,0,4633,4.633
"Monday",77,57.9,0.02,0,7769,7.769
"Tuesday",73,59,0.18,0,4260,4.26
"Wednesday",87.1,64,0,0,8959,8.959
"Thursday",89.1,71.1,0,0,8231,8.231
"Friday",86,75,0,0,7054,7.054
"Saturday",90,72,0,0,5327,5.327
"Sunday",86,73,0,0,4918,4.918
"Monday",79,68,1.65,0,3759,3.759
"Tuesday",84.9,72,0,0,7957,7.957
"Wednesday",82,71.1,0,0,9028,9.028
"Thursday",75.9,63,0,0,8764,8.764
"Friday",70,64,0.04,0,4961,4.961
"Saturday",82.9,66.9,0.4,0,6051,6.051
"Sunday",70,64.9,0.91,0,2473,2.473
"Monday",82,66.9,0,0,8489,8.489
"Tuesday",84,71.1,0,0,8527,8.527
"Wednesday",66,52,0.45,0,6325,6.325
"Thursday",71.1,54,0,0,7913,7.913
"Friday",75.9,57,0,0,8077,8.077
"Saturday",87.1,63,0,0,5632,5.632
"Sunday",82,66.9,0,0,5513,5.513
"Monday",73.9,57.9,0,0,7913,7.913
"Tuesday",79,59,0,0,8942,8.942
"Wednesday",84,64.9,0,0,9037,9.037
"Thursday",72,66,0.22,0,6184,6.184
"Friday",75.9,66,0,0,8106,8.106
"Saturday",86,64,0,0,6344,6.344
"Sunday",87.1,68,0,0,5339,5.339
"Monday",82,66.9,0,0,8297,8.297
"Tuesday",86,72,0,0,9008,9.008
"Wednesday",84,69.1,0,0,8788,8.788
"Thursday",81,69.1,0,0,7660,7.66
"Friday",82.9,70,0,0,7925,7.925
"Saturday",84.9,66.9,0,0,6441,6.441
"Sunday",86,69.1,0,0,5834,5.834
"Monday",82.9,69.1,0.45,0,7557,7.557
"Tuesday",75,69.1,0.12,0,6400,6.4
"Wednesday",82,68,0.01,0,8594,8.594
"Thursday",84,68,0,0,8374,8.374
"Friday",78.1,70,0.83,0,5356,5.356
"Saturday",75,64.9,0,0,5270,5.27
"Sunday",77,66.9,0,0,4804,4.804
"Monday",82.9,68,0.49,0,3666,3.666
"Tuesday",86,71.1,0.66,0,6156,6.156
"Wednesday",91,77,0,0,8135,8.135
"Thursday",88,78.1,0.04,0,7049,7.049
"Friday",84.9,72,0.08,0,6289,6.289
"Saturday",72,66,0.53,0,5167,5.167
"Sunday",79,66.9,0,0,5495,5.495
"Monday",80.1,66,0,0,8601,8.601
"Tuesday",82.4,69.8,0,0,9148,9.148
"Wednesday",82.9,73,0,0,8564,8.564
"Thursday",87.1,75,0.62,0,7010,7.01
"Friday",87.1,80.1,0,0,6844,6.844
"Saturday",89.1,77,0,0,4878,4.878
"Sunday",89.1,75.9,0,0,4993,4.993
"Monday",91.9,73,0.35,0,6580,6.58
"Tuesday",82.9,73.9,0,0,8548,8.548
"Wednesday",82.9,70,0,0,8751,8.751
"Thursday",89.1,72,0,0,8284,8.284
"Friday",93.9,75,0,0,6865,6.865
"Saturday",96.1,81,0,0,4764,4.764
"Sunday",93,77,0,0,4517,4.517
"Monday",93,73.9,1,0,4975,4.975
"Tuesday",89.1,72,0,0,7520,7.52
"Wednesday",90,77,0,0,8015,8.015
"Thursday",95,78.1,0,0,7271,7.271
"Friday",82.9,69.1,1.09,0,4685,4.685
"Saturday",82.9,73,0.25,0,4062,4.062
"Sunday",77,73.9,1.08,0,2799,2.799
"Monday",78.1,70,0,0,6410,6.41
"Tuesday",77,70,0,0,8389,8.389
"Wednesday",78.1,66.9,0,0,8605,8.605
"Thursday",80.1,68,0,0,8617,8.617
"Friday",82,69.1,0,0,7500,7.5
"Saturday",84.9,75,0.05,0,5172,5.172
"Sunday",88,71.1,0,0,5364,5.364
"Monday",86,72,0,0,7897,7.897
"Tuesday",86,73,0,0,8510,8.51
"Wednesday",86,77,0.09,0,6641,6.641
"Thursday",91,80.1,0.15,0,6421,6.421
"Friday",93,75.9,0.32,0,5501,5.501
"Saturday",96.1,82,0,0,4226,4.226
"Sunday",93.9,78.1,0.06,0,3562,3.562
"Monday",91,77,0,0,6513,6.513
"Tuesday",87.1,78.1,0.11,0,6944,6.944
"Wednesday",84.9,77,0.01,0,7610,7.61
"Thursday",84,72,0.03,0,7411,7.411
"Friday",87.1,75,0.01,0,6867,6.867
"Saturday",82.9,70,0.82,0,5402,5.402
"Sunday",84.9,75,0.31,0,3920,3.92
"Monday",77,69.1,0,0,7866,7.866
"Tuesday",80.1,64,0,0,8766,8.766
"Wednesday",87.8,68,0,0,8395,8.395
"Thursday",86,71.6,0,0,7724,7.724
"Friday",89.6,77,0,0,6691,6.691
"Saturday",88,75.2,0,0,5703,5.703
"Sunday",87.1,73,0,0,4969,4.969
"Monday",90,73.9,0,0,7388,7.388
"Tuesday",84,70,0,0,8424,8.424
"Wednesday",88,75,0,0,7972,7.972
"Thursday",78.1,70,0,0,4435,4.435
"Friday",80.1,66,0,0,7116,7.116
"Saturday",73.9,68,0,0,5115,5.115
"Sunday",79,64.9,0,0,4800,4.8
"Monday",82.9,66,0,0,4904,4.904
"Tuesday",79,72,0,0,6071,6.071
"Wednesday",82.9,72,0,0,7988,7.988
"Thursday",88,71.1,0,0,8007,8.007
"Friday",90,81,0.22,0,6734,6.734
"Saturday",90,75,0,0,5544,5.544
"Sunday",82,75,0,0,5426,5.426
"Monday",78.1,62.1,0,0,8230,8.23
"Tuesday",82,64.9,0,0,8972,8.972
"Wednesday",90,69.1,0.56,0,7982,7.982
"Thursday",73,62.1,0,0,8708,8.708
"Friday",73,62.1,0,0,7729,7.729
"Saturday",75.9,60.1,0,0,6727,6.727
"Sunday",81,71.1,0,0,5175,5.175
"Monday",72,69.1,0.68,0,3123,3.123
"Tuesday",82,69.1,0,0,8039,8.039
"Wednesday",84,69.1,0,0,8452,8.452
"Thursday",86,64.9,0,0,8470,8.47
"Friday",86,64,0.01,0,8104,8.104
"Saturday",71.1,57.9,0.2,0,5674,5.674
"Sunday",69.1,54,0,0,5900,5.9
"Monday",71.1,55,0,0,8006,8.006
"Tuesday",73.9,64,0.22,0,7063,7.063
"Wednesday",68,60.1,0,0,7363,7.363
"Thursday",64,60.1,0,0,5649,5.649
"Friday",59,57,0.4,0,2422,2.422
"Saturday",62.1,57,0,0,3590,3.59
"Sunday",63,57,0,0,3915,3.915
"Monday",71.1,61,0,0,6918,6.918
"Tuesday",68,60.1,0,0,7543,7.543
"Wednesday",66,54,0,0,8020,8.02
"Thursday",73,55.9,0,0,8897,8.897
"Friday",73.9,57,0,0,7624,7.624
"Saturday",68,59,0.23,0,3875,3.875
"Sunday",57.9,51.1,0.55,0,2045,2.045
"Monday",63,46.9,0,0,6054,6.054
"Tuesday",63,46.9,0,0,7227,7.227
"Wednesday",64,53.1,0,0,7189,7.189
"Thursday",66.9,55,0,0,7144,7.144
"Friday",61,48,0,0,6604,6.604
"Saturday",64.9,46,0,0,5350,5.35
"Sunday",69.1,54,0,0,5001,5.001
"Monday",80.1,63,0,0,7731,7.731
"Tuesday",81,66.9,0,0,8761,8.761
"Wednesday",84,69.1,0,0,8582,8.582
"Thursday",70,62.1,0,0,7089,7.089
"Friday",69.1,66,1.11,0,3558,3.558
"Saturday",50,46.9,0.29,0,2108,2.108
"Sunday",61,46,0,0,4020,4.02
"Monday",61,51.1,0,0,6357,6.357
"Tuesday",51.1,46,0,0,5760,5.76
"Wednesday",50,37.9,0,0,5649,5.649
"Thursday",54,41,1.41,0,2137,2.137
"Friday",46.9,44.1,0,0,4271,4.271
"Saturday",63,39,0,0,4027,4.027
"Sunday",75,57.9,0.56,0,3531,3.531
"Monday",54,44,0,0,5440,5.44
